재료이름,개수,재료위치
딸기 베이스(시럽),9,냉장
딸기 복숭아 베이스,5,냉장
망고 베이스,1,냉장
청포도 베이스,0,냉장
달고나 베이스,0,냉장
카라멜 소스,0,냉장
초코 소스,0,냉장
초코렛 칩,3,냉장
토피넛 베이스,0,냉장
복분자 베이스,0,냉장
블루베리 시럽,0,냉장
홍차 베이스,0,냉장
자몽 베이스,0,냉장
꿀복숭아 베이스,5,냉장
화이트 초콜릿,0,냉장
메이플 시럽,0,냉장
휘핑,0,냉장
콜드브루,0,냉장
콜드브루 디카페인,0,냉장
츄러스 초코소스,0,냉장
연유,0,냉장
크림치즈,0,냉장
그릴드 치킨 샐러드,0,냉장
두부텐더 샐러드,0,냉장
1인 망고패션 베이스,0,냉장
1인 딸기피치 베이스,0,냉장
1인 꿀베이스,0,냉장
라운드볼,0,냉동
밀크 크레이프 케이크,0,냉동
티라미슈 케이크,0,냉동
수플레 치즈 케이크,0,냉동
허니브레드,0,냉동
프레즐,0,냉동
꿀호떡,0,냉동
크루아상,0,냉동
뱅쇼키트,0,냉동
오리지널 번,0,냉동
크로크무슈,0,냉동
꽈루아상,0,냉동
크로플,0,냉동
쉐이크,0,냉동
쉐이크 딸기다이스,0,냉동
딸기 쥬스,0,냉동
키위 주스,0,냉동
스노우쿠키슈,0,냉동
펄,0,냉동
와플,0,냉동
초코 머핀,0,냉동
크림치즈 머핀,0,냉동
소고기 브리또,0,냉동
핫치킨 브리또,0,냉동
어니언 베이글,0,냉동
블루베리 베이글,0,냉동
플레인 베이글,0,냉동
끼리케익(플레인),0,냉동
끼리케익(블루베리),0,냉동
베이컨 포테이토 피자,0,냉동
하와이안 스퀘어 피자,0,냉동
불닭고구마 스퀘어 피자,0,냉동
매콤 로제 주먹밥,0,냉동
까르보나라 주먹밥,0,냉동
츄러스 초코소스,0,냉동
생강 과육,0,냉동
석류 과육,0,냉동
청귤 과육,0,냉동
레몬 과육,0,냉동
자몽 과육,0,냉동
유자 과육,0,냉동
1인 요거트 빙수,0,냉동
1인 팥빙수,0,냉동
빙수 밀크,0,냉동
빙수 망고,0,냉동
빙수 딸기,0,냉동
인절미,0,냉동
망고 다이스,0,냉동
팥(빙수용),0,냉동
연유(빙수용),0,냉동
퓨어 패퍼민트,0,상온
프레시 그린티,0,상온
그린 루이보스,0,상온
샤인 히비스커스,0,상온
스프링 캐모마일,0,상온
피치 얼그레이,0,상온
잉글리쉬 블랙퍼스트,0,상온
고구마,0,상온
흑당 베이스,0,상온
바닐라 파우더,0,상온
녹차 파우더,0,상온
민트초코 파우더,0,상온
자바칩 파우더,0,상온
플랫치노 파우더,0,상온
요거트 파우더,0,상온
이곡 파우더,0,상온
토피넛 파우더,0,상온
모카 파우더,0,상온
너트 파우더,0,상온
커피믹스 파우더,0,상온
스페셜 골드 블렌드,0,상온
쿠키 분태,0,상온
아몬드,0,상온
마카다미아 시럽,0,상온
카라멜 시럽,0,상온
바닐라 시럽,0,상온
헤이즐넛 시럽,0,상온
카페 시럽,0,상온
시나몬 파우더,0,상온
쌍화차 파우더,0,상온
복숭아 아이스티,3,상온
레몬 아이스티,0,상온
화이트초코 마카다미아 쿠키,0,상온
초콜렛 청크 쿠키,0,상온
원두,0,상온
